Name,A,A_err,beta_nonlin,beta_err,beta_loglog,A_loglog
SN2018hon,1.8388573620979674,0.5284399190014456,-1.0486421933909889,0.2073357526507117,-1.0567939196504512,1.8710269618092314
SN2019aur,2.717684029197675,0.8194216652747104,-1.7089554700012999,0.19369950012579223,-1.7089554700012992,2.717684029197669
SN2019njv,13.37308968515363,4.348656165197834,-0.6794912882519386,0.18211127997485557,-0.6777553566232922,13.554010393070289
SN2019pqo,6.0312990861930045,1.1158186071033855,-0.9215126038065088,0.1353966426830735,-0.9297502686813421,6.153246915627226
SN2019yvs,1.2953124882058278,0.4334585158639301,-0.49474564533404636,0.21112710460584488,-0.5141805260414793,1.3617873199375847
SN2020adhh,3.1264606484352955,1.2831677425024615,-0.5590151489564904,0.23113799545384023,-0.5587097657400985,3.1598723691573127
SN2020aqe,22.627874764097665,3.3782069286688112,-2.043081112861863,0.11519761612430665,-1.9688849722284523,20.360240016650486
SN2020nec,0.25464905659609,0.22502637342178108,-1.4798579044014872,0.513202525885137,-1.4368048946109027,0.23511349636259093
SN2020ywx,3.9429847610926814,1.1585525434054043,-0.8187349578100768,0.16886034258333676,-0.818749425164322,3.940343537582135
SN2021aefs,38.042304126398086,38.88577836864031,-2.253284693376539,0.5588296555634861,-2.2532846933765356,38.04230412639782
SN2021bmf,19.040816472314766,3.4986056649169734,-0.8446458791097986,0.15319337703920638,-0.8451921705238287,19.068164393621842
SN2021tcv,3.1470988637407253,1.103603567589592,-0.5614854509492038,0.1900875939349469,-0.5542516779033206,3.174218710455957
SN2022cb,2.28781132897543,0.8053487964765972,-0.773737969825704,0.20414030158632454,-0.779946393094542,2.3921644267258997
SN2023rky,1.2020667848702509,0.3847950030822698,-1.0933269088076176,0.20682274189733763,-1.1058779651780273,1.2304323582563577
SN2024ehs,0.6805016986931178,0.3626226751916237,-1.621065517542735,0.43839395793125957,-1.2017893537484527,0.36165906566105843
