Name,MJD,Flux,ExplosionDate,TimeSinceExplosion,Status,Redshift,luminosity (erg/s/Hz)
SN2019njv,59576.533,2.056,58707.29899,868,real,0.01458,1.049614947973001e+28
SN2020adhh,59572.903,0.177,59200.3116,371,real,0.022,2.0802637439326886e+27
SN2021bmf,59582.611,1.704,59244.613,337,real,0.04,6.797290627685971e+28
