SN,Type,Distance (Mpc),ExpMJD
SN2015G,Ibn,23.1,57080.0
SN2015J,IIn,24.1,57138.0
iPTF15eqv,IIb/Ib,26.5,57252.0
ASASSN-15oz,IIL,34.6,57261.0
PSNJ22460504-1059484,Ib,41.4,57213.0
PSNJ14102342-4318437,Ib,18.5,57359.0
SN2016aqf,II,16.1,57442.0
SN2016bas,IIb,42.4,57449.0
SN2016bau,Ib,10.3,57459.0
SN2016coi,IcBL,18.1,57532.0
SN2016cvk,IInPec,50.4,57552.0
SN2016gfy,II,20.4,57641.0
SN2017ahn,II,39.8,57792.0
SN2017eaw,IIP,5.6,57885.0
SN2017gax,Ib/c,11.8,57977.0
SN2018ec,Ic,40.3,58114.0
SN2018ie,IcBL,70.6,58123.0
SN2018if,IcBL,141.0,58137.0
SN2018bvw,IcBL,258.0,58233.0
SN2018cow,IcPec,72.7,58285.0
SN2018gep,IcBL,144.0,58370.0
SN2018lab,II,21.0,58481.0
SN2019eez,II,22.3,58599.0
SN2019ehk,Ib,16.2,58601.0
SN2019ejj,II,11.5,58602.0
SN2019esa,IIn,25.9,58608.0
SN2019fcn,II,11.5,58606.0
SN2019mhm,IIP,50.6,58765.0
SN2019qar,Ib/c-Pec,48.5,58736.0
SN2020ad,II,28.8,58820.0
SN2020oi,Ic,16.2,58855.0
SN2020bvc,IcBL,122.0,58883.0
SN2020fqv,Ib/c,21.0,58939.0
SN2020fsb,II,35.2,58941.0
SN2020llx,II,46.7,58998.0
