Name,Obsmjd,Flux,Type,Distance (Mpc),ExpMJD,dt,L_nu,status,classification
SN1999el,51479,0.101,IIn,23.1,51471,8,6.45E+25,real,
SN1999el,51834,0.145,IIn,23.1,51471,363,9.26E+25,real,
SN1999em,51487,0.264,IIP,11.5,51475,12,4.18E+25,real,
SN1999em,51513,0.162,IIP,11.5,51475,38,2.56E+25,real,
SN1999em,51525,0.194,IIP,11.5,51475,50,3.07E+25,real,
SN1999em,51539,0.128,IIP,11.5,51475,64,2.03E+25,real,
SN1999em,51588,0.105,IIP,11.5,51475,113,1.66E+25,real,
SN1999gi,51525,0.087,IIP,12.4,51518,7,1.60E+25,real,
SN1999gi,51731,0.2,IIP,12.4,51518,213,3.68E+25,real,
SN1999gi,53020,0.096,IIP,12.4,51518,1502,1.77E+25,real,
SN1999gq,51555,0.147,IIP,16.7,51535,20,4.91E+25,real,
SN1999gq,51555,0.154,IIP,16.7,51535,20,5.14E+25,real,
SN2000P,51689,0.378,IIn,30.2,51611,78,4.12E+26,real,
SN2000P,51834,0.09,IIn,30.2,51611,223,9.82E+25,real,
SN2001ci,52066,1.166,Ic,16.4,52020,46,3.75E+26,real,
SN2001ci,52435,0.133,Ic,16.4,52020,415,4.28E+25,real,
SN2002hh,52583,0.483,II,5.6,52578,5,1.81E+25,real,
SN2002hh,52585,0.522,II,5.6,52578,7,1.96E+25,real,
SN2002hh,52585,0.192,II,5.6,52578,7,7.20E+24,real,
SN2002hh,52593,0.81,II,5.6,52578,15,3.04E+25,real,
SN2002hh,52605,1.333,II,5.6,52578,27,5.00E+25,real,
SN2002hh,52613,1.3,II,5.6,52578,35,4.88E+25,real,
SN2003H,52653,0.36,IbPec,22.3,52647,6,2.14E+26,real,
SN2003H,52927,0.207,IbPec,22.3,52647,280,1.23E+26,real,
SN2003ed,52863,3.697,II,25.2,52759,104,2.81E+27,real,
SN2003ed,52997,2.423,II,25.2,52759,238,1.84E+27,real,
SN2003ed,53030,2.321,II,25.2,52759,271,1.76E+27,real,
SN2003gd,52807,0.24,IIP,8.6,52715,92,2.12E+25,real,
SN2003gd,52824,0.2,IIP,8.6,52715,109,1.77E+25,real,
SN2003gd,52872,0.123,IIP,8.6,52715,157,1.09E+25,real,
SN2003gd,52917,0.222,IIP,8.6,52715,202,1.96E+25,real,
SN2003gd,53057,0.2,IIP,8.6,52715,342,1.77E+25,real,
SN2003ie,53030,0.181,IIP,13.7,52901,129,4.06E+25,real,
SN2003ie,53039,0.178,IIP,13.7,52901,138,4.00E+25,real,
