SN,status,obs,mjy,exp,dt
SN2002HH,L,52583,0.483,52578.0,5.0
SN2002HH,L,52585,0.522,52578.0,7.0
SN2002HH,L,52585,0.192,52578.0,7.0
SN2002HH,R,52593,0.81,52578.0,15.0
SN2002HH,R,52605,1.333,52578.0,27.0
SN2002HH,R,52613,1.3,52578.0,35.0
SN2003H,L,52653,0.36,52647.0,6.0
SN2003H,L,52928,0.207,52647.0,281.0
SN2003DV,L,54874,0.1,53111.0,1763.0
SN2003ED,R,52864,3.697,52759.0,105.0
SN2003ED,R,52998,2.423,52759.0,239.0
SN2003ED,R,53030,2.321,52759.0,271.0
SN2003GD,L,52808,0.24,52715.0,93.0
SN2003GD,L,52824,0.2,52715.0,109.0
SN2003GD,L,52872,0.123,52715.0,157.0
SN2003GD,L,52917,0.222,52715.0,202.0
SN2003GD,L,53057,0.2,52715.0,342.0
SN2003IE,L,53030,0.181,52901.0,129.0
SN2003IE,L,53040,0.178,52901.0,139.0
SN2003IE,L,53258,0.166,52901.0,357.0
SN2003IE,L,54874,0.171,52901.0,1973.0
SN2003LO,L,54873,0.183,53004.0,1869.0
SN2004A,L,53026,0.163,53010.0,16.0
SN2004A,L,53033,0.442,53010.0,23.0
SN2004A,L,53040,0.188,53010.0,30.0
SN2004A,L,53086,0.152,53010.0,76.0
SN2004A,L,53117,0.211,53010.0,107.0
SN2004A,L,53138,0.194,53010.0,128.0
SN2004C,R,53043,2.154,52996.0,47.0
SN2004C,R,54919,0.71,52996.0,1923.0
SN2004AM,L,52957,0.34,52950.0,7.0
SN2004AM,L,52957,1.0,52950.0,7.0
SN2004AM,L,53258,2.529,52950.0,308.0
SN2004AM,L,53258,3.039,52950.0,308.0
SN2004AM,L,53283,0.996,52950.0,333.0
SN2004BM,L,53146,0.456,53112.0,34.0
SN2004ET,L,53278,0.291,53270.0,8.0
SN2004ET,R,53283,0.341,53270.0,13.0
SN2004ET,R,53283,0.33,53270.0,13.0
SN2004ET,R,53285,0.641,53270.0,15.0
SN2004ET,R,53290,1.091,53270.0,20.0
SN2004ET,R,53301,1.316,53270.0,31.0
SN2004ET,R,53308,1.866,53270.0,38.0
SN2004ET,R,53315,1.993,53270.0,45.0
SN2004ET,R,53330,1.798,53270.0,60.0
SN2004ET,R,53339,1.919,53270.0,69.0
SN2004ET,R,53349,1.771,53270.0,79.0
SN2004ET,R,53408,1.081,53270.0,138.0
SN2004ET,R,53421,1.23,53270.0,151.0
SN2004GT,L,53081,0.2,53336.0,-255.0
SN2005U,L,53409,0.3,53398.0,11.0
SN2005U,L,53534,1.0,53398.0,136.0
SN2005V,L,53477,0.23,53371.0,106.0
SN2005AY,L,53475,0.082,53450.0,25.0
SN2005AY,L,53534,0.188,53450.0,84.0
SN2005AY,L,53556,0.12,53450.0,106.0
SN2005AY,L,53800,0.12,53450.0,350.0
SN2005DL,L,53829,0.521,53607.0,222.0
SN2005DL,L,57648,0.033,53607.0,4041.0
SN2005GL,L,53819,0.09,53669.0,150.0
SN2005KD,L,53695,0.454,53684.0,11.0
SN2005KD,L,53695,1.011,53684.0,11.0
SN2005KD,L,53725,0.362,53684.0,41.0
SN2005KD,L,53725,0.99,53684.0,41.0
SN2005KD,R,54371,0.16,53684.0,687.0
SN2005KL,L,54873,0.129,53675.0,1198.0
