Name,Obsmjd,Flux
SN2008ax,54607,0.511
SN2008ax,54607,1.581
SN2008ax,54610,0.493
SN2008ax,54610,0.98
SN2008bo,54561,0.234
SN2008bo,54561,0.477
SN2008bo,54563,-0.225
SN2008bo,54574,0.507
SN2008bo,54581,0.361
SN2008bo,54581,0.63
SN2008bo,54583,-0.186
SN2008bo,54583,0.224
SN2008bo,54583,0.436
SN2008bo,54587,-0.318
SN2008bo,54587,0.183
SN2008bo,54587,0.395
SN2008bo,54595,-0.138
SN2008bo,54595,0.365
SN2008bo,54601,0.275
SN2008bo,54610,0.156
SN2009dd,54937,-0.114
SN2009dd,54952,-0.126
SN2009dd,54958,0.06
SN2010as,55302,2.19
SN2010as,55311,3.1
SN2010as,55316,1.7
SN2010as,55333,1.69
SN2010as,55375,2.38
SN2010as,55412,2.27
SN2010as,55443,-2.0
SN2010as,55492,-1.9
