"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","flux","fluxerr"
201930149,59063.545016,,,14.6,atlaso,ATLAS,,5248.074602497723
201930150,59063.548259,,,16.66,atlaso,ATLAS,,787.0457896950977
201930151,59063.551476,,,15.43,atlaso,ATLAS,,2443.430552693971
201930152,59063.55422,,,17.85,atlaso,ATLAS,,263.0267991895376
201930153,59063.56693,,,14.12,atlaso,ATLAS,,8165.823713585923
201930154,59065.574332,18.935,0.143,19.09,atlaso,ATLAS,96.8277856261249,12.752981142063355
201930155,59065.576645,18.972,0.16,19.05,atlaso,ATLAS,93.58365435835277,13.790996958300825
201930156,59065.583128,18.964,0.162,19.14,atlaso,ATLAS,94.2757508527416,14.066650417673461
201930157,59065.594552,,,19.14,atlaso,ATLAS,,80.16780633876778
201930158,59073.537235,19.019,0.111,19.57,atlaso,ATLAS,89.61898068616142,9.162176606591082
201930159,59073.539545,19.288,0.138,19.6,atlaso,ATLAS,69.9519781051212,8.891085086968449
201930160,59073.543234,19.468,0.189,19.59,atlaso,ATLAS,59.265233524021475,10.316621189338848
201930161,59073.55308,18.963,0.117,19.41,atlaso,ATLAS,94.36262202767251,10.168608847023917
201930162,59075.555161,19.227,0.155,19.66,atlaso,ATLAS,73.99459543127229,10.563488848934721
201930163,59075.55699,19.292,0.154,19.7,atlaso,ATLAS,69.69473963563186,9.885449022378605
201930164,59075.560724,19.12,0.133,19.65,atlaso,ATLAS,81.65823713585905,10.00293210401754
201930165,59075.565771,18.89,0.106,19.64,atlaso,ATLAS,100.92528860766824,9.85329635829548
201930166,59077.539442,19.062,0.10900000000000001,19.62,atlaso,ATLAS,86.13903457724265,8.647731122691154
201930167,59077.542322,18.982,0.089,19.88,atlaso,ATLAS,92.7256742580594,7.600911688125684
201930168,59077.545205,19.309,0.117,19.9,atlaso,ATLAS,68.61198752817045,7.393695177167147
201930169,59077.550478,19.178,0.103,19.86,atlaso,ATLAS,77.41052270741206,7.343665803830921
201930170,59079.478681,19.742,0.182,19.66,atlasc,ATLAS,46.04685783785731,7.7187516541893055
201930171,59079.507281,,,19.68,atlasc,ATLAS,,48.7528490103386
201930172,59079.510534,,,19.73,atlasc,ATLAS,,46.55860935229582
201930173,59079.516024,19.992,0.195,19.69,atlasc,ATLAS,36.57631930094515,6.569166831157844
201930174,59083.500542,,,19.68,atlasc,ATLAS,,48.7528490103386
201930175,59083.516481,,,19.72,atlasc,ATLAS,,46.98941086052154
201930176,59083.518765,,,19.67,atlasc,ATLAS,,49.20395356814496
201930177,59083.520618,,,19.66,atlasc,ATLAS,,49.65923214503355
201930178,59083.525005,,,19.67,atlasc,ATLAS,,49.20395356814496
201930179,59083.53006,,,19.66,atlasc,ATLAS,,49.65923214503355
201930180,59085.477294,,,19.31,atlaso,ATLAS,,68.54882264526617
201930181,59085.496354,19.043,0.122,19.47,atlaso,ATLAS,87.65970403212789,9.84998367471961
201930182,59085.498659,,,19.41,atlaso,ATLAS,,62.51726927756849
201930183,59085.50468,,,19.47,atlaso,ATLAS,,59.1561634175474
201930184,59085.50656,19.294,0.197,19.46,atlaso,ATLAS,69.5664753528351,12.622399054622575
201930185,59085.50843,19.33,0.158,19.45,atlaso,ATLAS,67.29766562843182,9.793383625501333
201930186,59085.514629,19.065,0.14,19.51,atlaso,ATLAS,85.90135215053938,11.076529684072387
201930187,59085.51975,19.341,0.191,19.46,atlaso,ATLAS,66.61929002234538,11.71949902610328
201930188,59087.524252,,,19.61,atlasc,ATLAS,,51.99959965335157
201930189,59087.525167,,,19.62,atlasc,ATLAS,,51.52286445817554
201930190,59087.526539,,,19.62,atlasc,ATLAS,,51.52286445817554
201930191,59087.529938,,,19.65,atlasc,ATLAS,,50.11872336272725
201930192,59087.55551,,,19.62,atlasc,ATLAS,,51.52286445817554
201930193,59087.559176,,,19.66,atlasc,ATLAS,,49.65923214503355
201930194,59089.486243,19.458,0.175,19.55,atlaso,ATLAS,59.813607978127436,9.640814546203819
201930195,59089.488671,19.409,0.196,19.59,atlaso,ATLAS,62.57487633544405,11.296183831761647
201930196,59089.491445,19.52,0.193,19.63,atlaso,ATLAS,56.49369748123023,10.042295325600174
201930197,59089.496535,19.312,0.146,19.63,atlaso,ATLAS,68.42266727659499,9.200862399728383
201930198,59089.502546,18.974,0.175,19.72,atlaso,ATLAS,93.4114255736478,15.056142922884296
201930199,59092.388258,,,18.58,atlaso,ATLAS,,134.2764961137864
201930200,59093.459058,,,18.92,atlaso,ATLAS,,98.17479430199819
201930201,59093.460905,,,18.89,atlaso,ATLAS,,100.92528860766824
201930202,59093.463672,,,18.97,atlaso,ATLAS,,93.75620069258802
201930203,59093.468808,,,18.93,atlaso,ATLAS,,97.2747223776964
201930204,59093.489299,,,18.95,atlaso,ATLAS,,95.49925860214354
201930205,59095.465646,,,18.74,atlaso,ATLAS,,115.87773561551262
201930206,59095.471633,,,18.78,atlaso,ATLAS,,111.68632477805589
201930207,59095.47535,,,18.82,atlaso,ATLAS,,107.64652136298338
201930208,59095.484599,,,18.78,atlaso,ATLAS,,111.68632477805589
201930209,59101.475725,19.018,0.157,19.36,atlaso,ATLAS,89.70156084148131,12.9710559437869
201930210,59101.476184,19.333,0.138,19.63,atlaso,ATLAS,67.11197196984214,8.530112647299443
201930211,59101.478493,19.355,0.156,19.44,atlaso,ATLAS,65.76578373554196,9.449313947332222
201930212,59101.478951,,,19.64,atlaso,ATLAS,,50.58246620031132
201930213,59101.481971,19.364,0.205,19.6,atlaso,ATLAS,65.22288424656381,12.31486176103355
201930214,59101.482431,19.536,0.191,19.63,atlaso,ATLAS,55.66727981509466,9.792848758370072
201930215,59101.511017,19.629,0.202,19.65,atlaso,ATLAS,51.09754090546746,9.506640026988697
201930216,59101.511477,19.449,0.159,19.66,atlaso,ATLAS,60.31148196178159,8.832279507580335
201930217,59103.543769,,,19.62,atlaso,ATLAS,,51.52286445817554
201930218,59103.54697,,,19.59,atlaso,ATLAS,,52.96634438916573
201930219,59103.553488,19.337,0.185,19.61,atlaso,ATLAS,66.86517721976388,11.393244262690871
201930220,59103.564044,19.501,0.185,19.61,atlaso,ATLAS,57.49101815675022,9.79596914276995
201930221,59105.495671,19.832,0.149,19.81,atlaso,ATLAS,42.383810577434936,5.816502893025149
