name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,grb_luminosity_cgs,time_years
ZTF18abbovuc,58291.559,ZTF18abbovuc_VLASS2.1,59114.0,VLASS2.1,0.325,0.131,822.4409999999989,SN Ic,0.039,upper_limit,1.2306395193992627e+28,6.591607441833106e+26,2.253263013698627
ZTF18abbovuc,58291.559,ZTF18abbovuc_VLASS3.1,59966.0,VLASS3.1,0.363,0.154,1674.440999999999,SN Ic,0.039,upper_limit,1.3745296785905608e+28,2.1417818452124638e+27,4.587509589041093
ZTF18abdffeo,58296.549,ZTF18abdffeo_VLASS2.1,59099.0,VLASS2.1,0.749,0.148,802.4510000000009,SN Ib/c,0.01479,detection,3.9359250289611626e+27,6.304919294835438e+26,2.1984958904109613
ZTF18abdffeo,58296.549,ZTF18abdffeo_VLASS3.1,59987.0,VLASS3.1,0.428,0.137,1690.451000000001,SN Ib/c,0.01479,upper_limit,2.2491000165492353e+27,2.1663666112261495e+27,4.631372602739728
ZTF18abdkkwa,58316.669,ZTF18abdkkwa_VLASS2.1,59063.0,VLASS2.1,0.368,0.155,746.3309999999983,SN Ic,0.02531,upper_limit,5.752540113302491e+27,5.5826642130891885e+26,2.04474246575342
ZTF18abdkkwa,58316.669,ZTF18abdkkwa_VLASS3.1,59984.0,VLASS3.1,0.278,0.111,1667.3309999999983,SN Ic,0.02531,upper_limit,4.345668889940469e+27,2.1310073247089927e+27,4.568030136986296
ZTF18abdmlya,58295.559,ZTF18abdmlya_VLASS1.2v2,58595.0,VLASS1.2v,0.649,0.258,299.4409999999989,SN IIb,0.01462,upper_limit,3.331634508605383e+27,1.118650568535533e+26,0.82038630136986
ZTF18abdmlya,58295.559,ZTF18abdmlya_VLASS2.2,59524.0,VLASS2.2,0.387,0.144,1228.440999999999,SN IIb,0.01462,upper_limit,1.9866603310173856e+27,1.297824760165328e+27,3.365591780821915
ZTF18abeamgv,58304.599,ZTF18abeamgv_VLASS2.1,59104.0,VLASS2.1,0.437,0.139,799.400999999998,SN Ib,0.0351,upper_limit,1.3327723504994875e+28,6.261408530801548e+26,2.190139726027392
ZTF18abeamgv,58304.599,ZTF18abeamgv_VLASS3.1,60012.0,VLASS3.1,0.278,0.12,1707.400999999998,SN Ib,0.0351,upper_limit,8.478506028349144e+27,2.192445462839553e+27,4.677810958904105
ZTF18abecbks,58302.619,ZTF18abecbks_VLASS2.1,59104.0,VLASS2.1,0.401,0.141,801.3810000000012,SN Ic,0.03048,upper_limit,9.160190795999524e+27,6.289639420115743e+26,2.1955643835616474
