name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,grb_luminosity_cgs,time_years
ZTF18aaaibml,58899.679,ZTF18aaaibml_VLASS2.1,59048.0,VLASS2.1,0.522,0.183,148.32099999999627,SN II,0.0348,upper_limit,1.5642264858489362e+28,3.0627279152257147e+25,0.4063589041095788
ZTF18aaaibml,58899.679,ZTF18aaaibml_VLASS3.1,59969.0,VLASS3.1,0.469,0.17,1069.3209999999965,SN II,0.0348,upper_limit,1.405406555293393e+28,1.0239125052383381e+27,2.9296465753424563
ZTF18aabssth,58208.589,ZTF18aabssth_VLASS1.2v2,58593.0,VLASS1.2v,0.426,0.144,384.41100000000006,SN II,0.023,upper_limit,5.480358575788542e+27,1.7308252602951508e+26,1.0531808219178085
ZTF18aabssth,58208.589,ZTF18aabssth_VLASS2.2,59534.0,VLASS2.2,0.395,0.123,1325.411,SN II,0.023,upper_limit,5.08155313952224e+27,1.486116781226041e+27,3.6312630136986304
ZTF18aacemcn,58828.889,ZTF18aacemcn_VLASS2.2,59563.0,VLASS2.2,0.291,0.122,734.1109999999971,SN II,0.038,upper_limit,1.0445988835203864e+28,5.425400618281877e+26,2.0112630136986223
ZTF18aacnlxz,59170.899,ZTF18aacnlxz_VLASS2.2,59529.0,VLASS2.2,0.263,0.111,358.1010000000024,SN II,0.07247,upper_limit,3.6051079136410923e+28,1.5276813978317652e+26,0.9810986301369928
ZTF18aadmssd,58494.639,ZTF18aadmssd_VLASS1.2v2,58600.0,VLASS1.2v,5.053,0.489,105.36099999999716,SN IIn,0.01885,detection,4.33947454323577e+28,1.3579085857910373e+25,0.28866027397259497
ZTF18aadmssd,58494.639,ZTF18aadmssd_VLASS2.2,59496.0,VLASS2.2,5.737,0.332,1001.3609999999971,SN IIn,0.01885,detection,4.926888077289453e+28,9.207978038701022e+26,2.7434547945205403
ZTF18aadsuxd,59158.869,ZTF18aadsuxd_VLASS2.2,59551.0,VLASS2.2,0.302,0.105,392.1310000000012,SN II,0.03057,upper_limit,6.940412965511571e+27,1.797366358081059e+26,1.0743315068493184
ZTF18aaegvyd,58628.589,ZTF18aaegvyd_VLASS2.2,59547.0,VLASS2.2,0.254,0.115,918.411,SN II,0.0235,upper_limit,3.413773898598386e+27,7.946719858461675e+26,2.5161945205479452
ZTF18aagpzjk,58207.539,ZTF18aagpzjk_VLASS1.2v2,58587.0,VLASS1.2v,0.344,0.123,379.4609999999957,SN II,0.0163,upper_limit,2.2006183272704614e+27,1.6886151843706613e+26,1.03961917808218
ZTF18aagpzjk,58207.539,ZTF18aagpzjk_VLASS2.2,59538.0,VLASS2.2,0.294,0.107,1330.4609999999957,SN II,0.0163,upper_limit,1.8807610122602204e+27,1.497357243653762e+27,3.6450986301369745
ZTF18aahhqih,58247.599,ZTF18aahhqih_VLASS1.2v2,58634.0,VLASS1.2v,0.998,0.173,386.400999999998,SN II,0.0142,detection,4.830047724070127e+27,1.7479340353045917e+26,1.0586328767123234
ZTF18aahhqih,58247.599,ZTF18aahhqih_VLASS2.2,59553.0,VLASS2.2,1.242,0.153,1305.400999999998,SN II,0.0142,detection,6.01094115560631e+27,1.441990336176616e+27,3.5764410958904054
ZTF18aahrzkb,59143.869,ZTF18aahrzkb_VLASS3.1,59966.0,VLASS3.1,0.287,0.101,822.1310000000012,SN II,0.01055,upper_limit,7.625091382325118e+26,6.587561179499643e+26,2.25241369863014
ZTF18aakctzv,58238.629,ZTF18aakctzv_VLASS2.1,59045.0,VLASS2.1,0.335,0.151,806.3709999999992,SN IIP,0.0232,upper_limit,4.38624769126357e+27,6.361040407555245e+26,2.2092356164383538
