name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,grb_luminosity_cgs,time_years
ZTF18aauenwu,58248.849,ZTF18aauenwu_VLASS2.1,59074.0,VLASS2.1,0.342,0.141,825.150999999998,SN IIn,0.0475,upper_limit,1.9446444555114737e+28,6.195339242209494e+27,2.2606876712328714
ZTF18aauenwu,58248.849,ZTF18aauenwu_VLASS3.1,60007.0,VLASS3.1,0.314,0.11,1758.150999999998,SN IIn,0.0475,upper_limit,1.7854337983350953e+28,1.2426839415444853e+28,4.8168520547945155
ZTF18aauxzle,58252.689,ZTF18aauxzle_VLASS2.1,59094.0,VLASS2.1,0.379,0.133,841.3110000000015,SN II,0.04,upper_limit,1.5118387018151297e+28,6.237220449123818e+27,2.3049616438356204
ZTF18aauxzle,58252.689,ZTF18aauxzle_VLASS3.1,60008.0,VLASS3.1,0.367,0.097,1755.3110000000015,SN II,0.04,upper_limit,1.4639704579581863e+28,1.2404100008097957e+28,4.8090712328767165
ZTF18aavqdyq,58333.709,ZTF18aavqdyq_VLASS1.2v2,58609.0,VLASS1.2v,0.342,0.14,275.29099999999744,SN II,0.026,upper_limit,5.647322528708752e+27,1.5271754959669635e+27,0.7542219178082121
ZTF18aavskep,58278.629,ZTF18aavskep_VLASS1.2v2,58556.0,VLASS1.2v,0.197,0.113,277.3709999999992,SN IIn,0.046,upper_limit,1.0482787022704883e+28,1.545024366401537e+27,0.7599205479452033
ZTF18aavskep,58278.629,ZTF18aavskep_VLASS2.2,59552.0,VLASS2.2,0.349,0.109,1273.3709999999992,SN IIn,0.046,upper_limit,1.8571028786416267e+28,7.617516764781839e+27,3.4886876712328743
ZTF18aawgrxz,59392.609,ZTF18aawgrxz_VLASS3.1,59979.0,VLASS3.1,0.295,0.101,586.390999999996,SN II,0.0267,upper_limit,5.142360509936235e+27,4.533306072208719e+27,1.6065506849314959
ZTF18aawyjjq,58262.759,ZTF18aawyjjq_VLASS2.1,59104.0,VLASS2.1,0.387,0.138,841.2410000000018,SN II,0.04,upper_limit,1.5437508643864257e+28,6.237040170148221e+27,2.3047698630137035
ZTF18aaxjuwy,58283.619,ZTF18aaxjuwy_VLASS1.2v2,58604.0,VLASS1.2v,0.359,0.121,320.3810000000012,SN IIn,0.0828,upper_limit,6.515351146738614e+28,1.8710790856105913e+27,0.877756164383565
ZTF18aaxjuwy,58283.619,ZTF18aaxjuwy_VLASS2.2,59504.0,VLASS2.2,0.41,0.166,1220.3810000000012,SN IIn,0.0828,upper_limit,7.440930279005103e+28,7.245599973373422e+27,3.343509589041099
ZTF18aaxkqgy,58265.759,ZTF18aaxkqgy_VLASS1.2v2,58655.0,VLASS1.2v,0.368,0.13,389.2410000000018,SN IIP,0.02,upper_limit,3.563828957269743e+27,2.4745461907348618e+27,1.066413698630142
ZTF18aaxnqjb,58273.589,ZTF18aaxnqjb_VLASS2.1,59068.0,VLASS2.1,0.432,0.164,794.4110000000001,SN II,0.054,upper_limit,3.2041535629438853e+28,6.039766443877571e+27,2.176468493150685
