name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,grb_luminosity_cgs,time_years
ZTF18aabxlsv,58214.559,ZTF18aabxlsv_VLASS2.1,59048.0,VLASS2.1,0.444,0.15,833.4409999999989,SN Ib,0.048,upper_limit,2.5798980558061577e+28,6.216890303708857e+27,2.2833999999999968
ZTF18aabxlsv,58214.559,ZTF18aabxlsv_VLASS3.1,59969.0,VLASS3.1,0.397,0.148,1754.440999999999,SN Ib,0.048,upper_limit,2.3068007390879386e+28,1.2397135041036773e+28,4.806687671232874
ZTF18aagrdcs,58207.779,ZTF18aagrdcs_VLASS1.2v2,58587.0,VLASS1.2v,0.441,0.097,379.2209999999978,SN Ib,0.0181,detection,3.487988444211407e+27,2.3695976661693308e+27,1.0389616438356104
ZTF18aahhzqn,58211.629,ZTF18aahhzqn_VLASS1.2v2,58610.0,VLASS1.2v,0.382,0.129,398.3709999999992,SN Ib/c,0.031,upper_limit,9.033327646799304e+27,2.5626037084176445e+27,1.0914273972602717
ZTF18aahpbwz,58235.529,ZTF18aahpbwz_VLASS1.2v2,58594.0,VLASS1.2v,0.306,0.123,358.47099999999773,SN Ib,0.051,upper_limit,2.015837023901122e+28,2.1841449496490642e+27,0.9821123287671171
ZTF18aahpbwz,58235.529,ZTF18aahpbwz_VLASS2.2,59539.0,VLASS2.2,0.324,0.1,1303.4709999999975,SN Ib,0.051,upper_limit,2.134415672365894e+28,7.89677575465212e+27,3.5711534246575276
ZTF18aahuujv,58672.629,ZTF18aahuujv_VLASS2.1,59110.0,VLASS2.1,0.439,0.17,437.3709999999992,SN Ic,0.0343,upper_limit,1.277047696708182e+28,2.956121210849056e+27,1.198276712328765
ZTF18aaisybp,58926.679,ZTF18aaisybp_VLASS2.2,59540.0,VLASS2.2,0.267,0.093,613.3209999999963,SN Ic,0.06231,upper_limit,2.66776097466044e+28,4.7394125414351905e+27,1.6803315068493048
ZTF18aaisyyp,58245.609,ZTF18aaisyyp_VLASS2.1,59093.0,VLASS2.1,0.42,0.162,847.390999999996,SN Ic,0.132,upper_limit,2.0663039928894336e+29,6.252841762198573e+27,2.3216191780821807
ZTF18aaisyyp,58245.609,ZTF18aaisyyp_VLASS3.1,59990.0,VLASS3.1,0.281,0.138,1744.390999999996,SN Ic,0.132,upper_limit,1.3824557666712641e+29,1.2316710996755466e+28,4.779153424657523
ZTF18aakkrjm,58961.589,ZTF18aakkrjm_VLASS2.1,59098.0,VLASS2.1,0.417,0.177,136.41100000000006,SN Ib,0.02091,upper_limit,4.42018981318258e+27,5.5941681459257865e+26,0.37372876712328784
ZTF18aaqjovh,58238.619,ZTF18aaqjovh_VLASS1.2v2,58585.0,VLASS1.2v,0.274,0.093,346.3810000000012,SN Ic-BL,0.054,upper_limit,2.032264065385705e+28,2.0904319863444357e+27,0.9489890410958938
ZTF18aaqjovh,58238.619,ZTF18aaqjovh_VLASS2.2,59527.0,VLASS2.2,0.336,0.133,1288.3810000000012,SN Ic-BL,0.054,upper_limit,2.4921194378452443e+28,7.74886004097879e+27,3.529810958904113
ZTF18aarlpzd,58944.589,ZTF18aarlpzd_VLASS2.1,59084.0,VLASS2.1,30.532,3.357,139.41100000000006,SN Ib,0.01,detection,7.282036267777967e+28,5.7814673438238764e+26,0.3819479452054796
ZTF18aarlpzd,58944.589,ZTF18aarlpzd_VLASS3.1,60003.0,VLASS3.1,28.406,2.972,1058.411,SN Ib,0.01,detection,6.774974525825394e+28,6.464917276101027e+27,2.899756164383562
ZTF18aasycpd,58260.679,ZTF18aasycpd_VLASS1.2v2,58573.0,VLASS1.2v,0.261,0.115,312.3209999999963,SN IIb,0.04502,upper_limit,1.3284228599036962e+28,1.8213481712713256e+27,0.8556739726027295
ZTF18aasycpd,58260.679,ZTF18aasycpd_VLASS2.2,59502.0,VLASS2.2,0.337,0.109,1241.3209999999965,SN IIb,0.04502,upper_limit,1.715243309530826e+28,7.362194857211716e+27,3.400879452054785
ZTF18aaxiuyp,58271.589,ZTF18aaxiuyp_VLASS2.1,59107.0,VLASS2.1,0.339,0.132,835.4110000000001,SN Ic,0.0303,upper_limit,7.650690145343561e+27,6.221991013648069e+27,2.288797260273973
ZTF18aaygwqd,58280.639,ZTF18aaygwqd_VLASS2.1,59097.0,VLASS2.1,0.529,0.158,816.3609999999971,SN Ib,0.035,upper_limit,1.6039427190303456e+28,6.158743401949589e+27,2.236605479452047
ZTF18aaygwqd,58280.639,ZTF18aaygwqd_VLASS3.1,60025.0,VLASS3.1,0.533,0.133,1744.3609999999971,SN Ib,0.035,detection,1.616070830327361e+28,1.231647101699763e+28,4.779071232876705
ZTF18aazhklh,58269.619,ZTF18aazhklh_VLASS1.2v2,58611.0,VLASS1.2v,0.306,0.118,341.3810000000012,SN Ib,0.02417,upper_limit,4.3548241428205665e+27,2.0491614962832023e+27,0.9352904109589074
ZTF18aazhklh,58269.619,ZTF18aazhklh_VLASS2.2,59491.0,VLASS2.2,0.539,0.159,1221.3810000000012,SN Ib,0.02417,upper_limit,7.670752330000935e+27,7.25117080877378e+27,3.3462493150684964
ZTF18abbovuc,58291.559,ZTF18abbovuc_VLASS2.1,59114.0,VLASS2.1,0.325,0.131,822.4409999999989,SN Ic,0.039,upper_limit,1.2306395193992627e+28,6.188263570119621e+27,2.253263013698627
ZTF18abbovuc,58291.559,ZTF18abbovuc_VLASS3.1,59966.0,VLASS3.1,0.363,0.154,1674.440999999999,SN Ic,0.039,upper_limit,1.3745296785905608e+28,1.183502733057625e+28,4.587509589041093
ZTF18abdmlya,58295.559,ZTF18abdmlya_VLASS1.2v2,58595.0,VLASS1.2v,0.649,0.258,299.4409999999989,SN IIb,0.01462,upper_limit,3.331634508605383e+27,1.711690133580185e+27,0.82038630136986
ZTF18abeamgv,58304.599,ZTF18abeamgv_VLASS2.1,59104.0,VLASS2.1,0.437,0.139,799.400999999998,SN Ib,0.0351,upper_limit,1.3327723504994875e+28,6.066634636595996e+27,2.190139726027392
ZTF18abecbks,58302.619,ZTF18abecbks_VLASS2.1,59104.0,VLASS2.1,0.401,0.141,801.3810000000012,SN Ic,0.03048,upper_limit,9.160190795999524e+27,6.077416135728587e+27,2.1955643835616474
ZTF18abeyqpr,58312.659,ZTF18abeyqpr_VLASS2.1,59067.0,VLASS2.1,0.257,0.141,754.3410000000003,SN Ic,0.0472,upper_limit,1.4423071830634532e+28,5.860887394306812e+27,2.0666876712328777
ZTF18abeyqpr,58312.659,ZTF18abeyqpr_VLASS3.1,60002.0,VLASS3.1,0.348,0.133,1689.3410000000003,SN Ic,0.0472,upper_limit,1.9530073918524577e+28,1.1930799596731408e+28,4.628331506849316
