name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,grb_luminosity_cgs,time_years
ZTF18aakfabl,58413.869,ZTF18aakfabl_VLASS3.1,59991.0,VLASS3.1,1.366,0.309,1577.1310000000012,SN II,0.035,detection,4.14175000793091e+28,1.3558087042996067e+28,4.3209068493150715
ZTF18aakrnvd,58302.569,ZTF18aakrnvd_VLASS3.1,59967.0,VLASS3.1,0.314,0.133,1664.4309999999969,SN IIn,0.0453,upper_limit,1.6187705137185693e+28,1.1928180215826078e+28,4.56008493150684
ZTF18aarasof,58259.779,ZTF18aarasof_VLASS3.1,60015.0,VLASS3.1,0.475,0.113,1755.2209999999975,SN IIn,0.044,detection,2.3059397901398786e+28,1.053195484704817e+28,4.80882465753424
ZTF18aasyjhd,59763.709,ZTF18aasyjhd_VLASS3.1,59987.0,VLASS3.1,0.296,0.115,223.29099999999744,SN II,0.143,upper_limit,1.7328528216194755e+29,1.0842728285921999e+29,0.6117561643835546
ZTF18aatjlhe,58430.929,ZTF18aatjlhe_VLASS3.1,59979.0,VLASS3.1,0.781,0.186,1548.0709999999965,SN II,0.03,detection,1.7271028248157596e+28,1.4225215867616534e+28,4.241290410958895
ZTF18aatlfus,58242.799,ZTF18aatlfus_VLASS3.1,59966.0,VLASS3.1,0.304,0.138,1723.201000000001,SN IIP,0.0451,upper_limit,1.5529638619054925e+28,1.1002244609665617e+28,4.721098630136989
ZTF18aauenwu,58248.849,ZTF18aauenwu_VLASS3.1,60007.0,VLASS3.1,0.314,0.11,1758.150999999998,SN IIn,0.0475,upper_limit,1.7854337983350953e+28,1.049034122687205e+28,4.8168520547945155
ZTF18aauxzle,58252.689,ZTF18aauxzle_VLASS3.1,60008.0,VLASS3.1,0.367,0.097,1755.3110000000015,SN II,0.04,upper_limit,1.4639704579581863e+28,1.0530673123207924e+28,4.8090712328767165
ZTF18aawyjjq,58262.759,ZTF18aawyjjq_VLASS3.1,60012.0,VLASS3.1,0.28,0.125,1749.2410000000018,SN II,0.04,upper_limit,1.1169256899953468e+28,1.0617617555056972e+28,4.792441095890416
ZTF18aaxjuwy,58283.619,ZTF18aaxjuwy_VLASS2.2,59504.0,VLASS2.2,0.41,0.166,1220.3810000000012,SN IIn,0.0828,upper_limit,7.440930279005103e+28,2.7268703262306133e+28,3.343509589041099
ZTF18aaxnqjb,58273.589,ZTF18aaxnqjb_VLASS3.1,59981.0,VLASS3.1,0.256,0.102,1707.411,SN II,0.054,upper_limit,1.8987576669297096e+28,1.1239831978824913e+28,4.677838356164384
ZTF18abcezmh,58289.759,ZTF18abcezmh_VLASS2.2,59495.0,VLASS2.2,0.604,0.211,1205.2410000000018,SN II,0.057,upper_limit,5.012669226763787e+28,2.8298715537171425e+28,3.302030136986306
ZTF18abcfdzu,58340.559,ZTF18abcfdzu_VLASS2.1,59063.0,VLASS2.1,0.43,0.172,722.4409999999989,SN IIP,0.125,upper_limit,1.8802612233108412e+29,1.3021937730988667e+29,1.9792904109589011
