SN,mjd obs,flux (mJy),mjd exp date,dt (days),dt (years),redshift,Luminosity,classification,status,type
GRB30,,,,,0.000373399657212,,6.394337057046518e+21,grb30,real,
GRB30,,,,,0.0003856328045464,,4.834834679198866e+21,grb30,real,
GRB30,,,,,0.000398266472506,,2.9053620302684283e+21,grb30,real,
GRB30,,,,,0.0004113143210608,,4.488027606879374e+21,grb30,real,
GRB30,,,,,0.0004247894947099,,6.013062786896165e+21,grb30,real,
GRB30,,,,,0.0004387064266292,,4.05973650960479e+21,grb30,real,
GRB30,,,,,0.0004530790345236,,2.1699135659125952e+21,grb30,real,
GRB30,,,,,0.0004679225247748,,6.626926122949309e+21,grb30,real,
GRB30,,,,,0.0004832523614995,,5.32507969082386e+21,grb30,real,
GRB30,,,,,0.0004990842665498,,4.755740016809953e+21,grb30,real,
GRB30,,,,,0.0005154349927189,,2.7224353272446855e+21,grb30,real,
GRB30,,,,,0.0005323212928001,,6.261205088921234e+21,grb30,real,
GRB30,,,,,0.0005497609505277,,5.837071806299471e+21,grb30,real,
GRB30,,,,,0.0005677717496359,,5.722624291561347e+21,grb30,real,
GRB30,,,,,0.0005863727625355,,2.3464378438536735e+21,grb30,real,
GRB30,,,,,0.0006055833193726,,5.217907875569828e+21,grb30,real,
GRB30,,,,,0.0006254230080284,,3.434152059775441e+21,grb30,real,
GRB30,,,,,0.0006459127050606,,5.365050326785421e+21,grb30,real,
GRB30,,,,,0.0006670738024974,,5.047411762253659e+21,grb30,real,
GRB30,,,,,0.0006889279501024,,3.181301504052813e+21,grb30,real,
GRB30,,,,,0.0007114983440508,,2.743870071222167e+21,grb30,real,
GRB30,,,,,0.0007348079227825,,5.688524687971439e+21,grb30,real,
GRB30,,,,,0.0007588814288843,,3.548736708116407e+21,grb30,real,
GRB30,,,,,0.000783743347208,,2.5276494245252096e+21,grb30,real,
GRB30,,,,,0.0008094199667521,,4.571994321435907e+21,grb30,real,
GRB30,,,,,0.0008359375765151,,4.347020932074253e+21,grb30,real,
GRB30,,,,,0.0008633240119073,,3.810162875600063e+21,grb30,real,
