days,luminosity
64.07529952633047, 5.2742175525102395e+25
65.12068124825856, 5.658125011666401e+25
66.51452354416273, 6.1978461273448e+25
67.90836584006689, 6.825843242055138e+25
69.30220813597106, 7.459652368235447e+25
70.69605043187516, 8.209161229801569e+25
72.08989272777933, 8.895543717779573e+25
73.4837350236835, 9.684075270232711e+25
74.87757731958766, 1.0632426278414747e+26
76.27141961549182, 1.153032151093522e+26
77.66526191139593, 1.2610694948359506e+26
79.3378726664809, 1.3703133862350257e+26
80.45294650320426, 1.4769598824441504e+26
83.06766528925621, 2.0267156615570586e+26
84.44576446280993, 3.774765530455814e+26
85.82386363636365, 5.705944433239193e+26
87.47758264462809, 7.497279346510674e+26
88.5800619834711, 9.113254336425967e+26
90.23378099173553, 1.0906808995562712e+27
91.33626033057854, 1.246507059298103e+27
92.71435950413226, 1.407993570996368e+27
94.4369834710744, 1.596117033077853e+27
96.43522727272725, 1.8112104074223466e+27
97.95113636363638, 1.9923416700282357e+27
99.88047520661158, 2.1974461879790224e+27
101.39638429752071, 2.3705863654699456e+27
103.32572314049585, 2.5517176280758357e+27
104.84163223140499, 2.7181985679709546e+27
106.77097107438013, 2.8966661355385224e+27
108.28688016528926, 3.0631470754336414e+27
110.21621900826446, 3.2336235578862444e+27
111.66322314049589, 3.3941111839451384e+27
113.73037190082644, 3.5628118697055246e+27
115.79752066115705, 3.7653636799112534e+27
117.52014462809919, 3.91519652581686e+27
119.24276859504133, 4.0883367033077844e+27
122.20568181818183, 4.3030971157724873e+27
123.7215909090909, 4.458479326341265e+27
125.78873966942152, 4.629399757966921e+27
127.85588842975207, 4.787001714400966e+27
129.92303719008262, 4.9379444332392084e+27
131.99018595041323, 5.097766135538522e+27
134.0573347107438, 5.244269362646227e+27
136.46900826446281, 5.413524984872932e+27
139.22520661157026, 5.601648446954416e+27
141.63688016528928, 5.757030657523194e+27
144.04855371900825, 5.906308566962483e+27
146.8047520661157, 6.072789506857602e+27
149.56095041322314, 6.232611209156917e+27
152.31714876033058, 6.37578481746672e+27
155.07334710743802, 6.520623235175473e+27
158.17407024793388, 6.671122004840661e+27
161.61931818181816, 6.829611859620814e+27
165.0645661157025, 6.973451391690196e+27
168.85433884297518, 7.121064491730535e+27
172.98863636363635, 7.266457845905606e+27
177.46745867768593, 7.407253155074049e+27
182.6353305785124, 7.553637467224685e+27
188.4922520661157, 7.691909136748688e+27
