name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,model_luminosity_cgs,time_years
ZTF18aahfgyz,58208.679,ZTF18aahfgyz_VLASS2.2,59527.0,VLASS2.2,0.312,0.115,1318.3209999999965,SN Ia-91bg,0.012,upper_limit,1.0747927302534971e+27,0.0,3.611838356164374
ZTF18aahfxnn,58217.629,ZTF18aahfxnn_VLASS2.1,59051.0,VLASS2.1,0.308,0.125,833.3709999999992,SN Ia,0.08,upper_limit,5.198272419279773e+28,5.131983736414842e+27,2.28320821917808
ZTF18aahfxnn,58217.629,ZTF18aahfxnn_VLASS3.1,59969.0,VLASS3.1,0.336,0.142,1751.3709999999992,SN Ia,0.08,upper_limit,5.670842639214297e+28,0.0,4.798276712328765
ZTF18aahfzea,58207.639,ZTF18aahfzea_VLASS3.1,59981.0,VLASS3.1,0.306,0.121,1773.3609999999971,SN Ia,0.024,upper_limit,4.292700537263642e+27,0.0,4.858523287671225
ZTF18aahheaj,58217.649,ZTF18aahheaj_VLASS1.2v2,58585.0,VLASS1.2v,0.303,0.127,367.3510000000024,SN Ia,0.048,upper_limit,1.7606061056514996e+28,7.654509496949992e+27,1.0064410958904175
ZTF18aahheaj,58217.649,ZTF18aahheaj_VLASS2.2,59535.0,VLASS2.2,0.353,0.138,1317.3510000000024,SN Ia,0.048,upper_limit,2.051135165990031e+28,0.0,3.609180821917815
ZTF18aahhenr,58212.659,ZTF18aahhenr_VLASS2.1,59098.0,VLASS2.1,0.369,0.14,885.3410000000003,SN Ia-91T,0.08,upper_limit,6.227800398422844e+28,4.927927299308906e+27,2.425591780821919
ZTF18aahhenr,58212.659,ZTF18aahhenr_VLASS3.1,60004.0,VLASS3.1,0.269,0.101,1791.3410000000003,SN Ia-91T,0.08,upper_limit,4.540049612942399e+28,0.0,4.907783561643837
ZTF18aahjafd,58223.569,ZTF18aahjafd_VLASS2.1,59045.0,VLASS2.1,0.426,0.135,821.4309999999969,SN Ia,0.0359,upper_limit,1.3607055361766778e+28,5.177313747493038e+27,2.25049589041095
ZTF18aahjafd,58223.569,ZTF18aahjafd_VLASS3.1,59967.0,VLASS3.1,0.301,0.105,1743.4309999999969,SN Ia,0.0359,upper_limit,9.614374797868077e+27,0.0,4.776523287671225
ZTF18aahptcq,58214.579,ZTF18aahptcq_VLASS1.2v2,58641.0,VLASS1.2v,0.258,0.114,426.4210000000021,SN Ia,0.0635,upper_limit,2.6816956173200426e+28,7.264492798513528e+27,1.168276712328773
ZTF18aahptcq,58214.579,ZTF18aahptcq_VLASS2.2,59497.0,VLASS2.2,0.318,0.129,1282.421000000002,SN Ia,0.0635,upper_limit,3.3053457608828427e+28,0.0,3.513482191780828
ZTF18aahqmsr,58221.549,ZTF18aahqmsr_VLASS1.2v2,58638.0,VLASS1.2v,0.621,0.281,416.451000000001,SN Ia,0.085,upper_limit,1.1912621391888036e+29,7.328641035835286e+27,1.1409616438356192
ZTF18aahqmsr,58221.549,ZTF18aahqmsr_VLASS2.2,59552.0,VLASS2.2,0.423,0.182,1330.451000000001,SN Ia,0.085,upper_limit,8.114394281430979e+28,0.0,3.645071232876715
ZTF18aahshhp,58903.699,ZTF18aahshhp_VLASS2.1,59098.0,VLASS2.1,0.325,0.139,194.30099999999948,SN Ia,0.05959,upper_limit,2.9586589012430477e+28,7.808545677751141e+27,0.5323315068493136
ZTF18aahshhp,58903.699,ZTF18aahshhp_VLASS3.1,59987.0,VLASS3.1,0.395,0.133,1083.3009999999997,SN Ia,0.05959,upper_limit,3.5959085107415494e+28,0.0,2.9679479452054784
ZTF18aahtjsc,58565.619,ZTF18aahtjsc_VLASS1.2v2,58609.0,VLASS1.2v,0.368,0.124,43.38100000000122,SN Ia,0.0529,upper_limit,2.615317413661543e+28,0.0,0.1188520547945239
ZTF18aahtjsc,58565.619,ZTF18aahtjsc_VLASS2.2,59553.0,VLASS2.2,0.378,0.115,987.3810000000012,SN Ia,0.0529,upper_limit,2.6863858216414767e+28,4.5587646514918354e+27,2.7051534246575377
ZTF18aahvkwq,59947.859,ZTF18aahvkwq_VLASS3.1,59962.0,VLASS3.1,0.277,0.1,14.140999999995984,SN Ia,0.026,upper_limit,4.574000995474631e+27,0.0,0.038742465753413655
ZTF18aahvpcy,59631.769,ZTF18aahvpcy_VLASS3.1,60014.0,VLASS3.1,0.344,0.142,382.23099999999977,SN Ia,0.0607,upper_limit,3.2544449210027673e+28,7.555023323269834e+27,1.0472082191780816
ZTF18aahwhbk,59769.589,ZTF18aahwhbk_VLASS3.1,59979.0,VLASS3.1,0.263,0.096,209.4110000000001,SN Ia,0.0449,upper_limit,1.3312466429748917e+28,8.02725239620661e+27,0.5737287671232879
