Name,MJD,Flux,ExplosionDate,mjd,TimeSinceExplosion,Status,Redshift,Fluxluminosity (erg/s/Hz)
SN2023axu,58167.0,0.08,0.128,59972.11622,-1803.952,real,0.03,1.8221929931474857e+27
SN2023axu,58167.0,0.07,0.128,59972.11622,-1803.952,real,0.03,1.59441886900405e+27
