name,IAUID,ra,dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
SN2004et,SN2004et,20:35:25.330, +60:07:17.69,,,,,,,,,,,
SN2010as,SN2010as,15:49:49.229, -29:23:09.71,,,,,,,,,,,
