tsn_name, mjd
SN2018hon, 58416.26899305556
SN2019aur, 58526.26199074074
SN2019njv, 58707.298993055556
SN2019pqo, 58733.21241898148
SN2019wqq, 58828.42859953704
SN2019yvs, 58845.55899305556
SN2020adhh, 59200.31159722222
SN2020aqe, 58871.57498842593
SN2020nec, 59021.587
SN2020ywx, 59157.62
SN2021aefs, 59527.272
SN2021bmf, 59244.613
SN2021tcv, 59406.596
SN2022cb, 59584.822
SN2023axu, 59972.11622
SN2023rky, 60193.336 
SN2024ehs, 60384.47002
