tsn_name, difference
SN2018hon_S Band, 2410.434681712948
SN2018hon_C Band, 2410.422239583335
SN2018hon_X Band, 2410.428489583319
SN2019njv_S Band, 2116.1902719907375
SN2019njv_C Band, 2116.1848321759244
SN2019njv_X Band, 2116.1787673611107
SN2019pqo_S Band, 2093.9136516203725
SN2019pqo_C Band, 2093.925572916669
SN2019pqo_X Band, 2093.9190914351857
SN2019yvs_S Band, 1982.4938136574056
SN2019yvs_C Band, 1982.4875057870377
SN2019yvs_X Band, 1982.4810590277775
SN2020aqe_S Band, 1955.4576793981469
SN2020aqe_C Band, 1955.4433854166782
SN2020aqe_X Band, 1955.4009317129749
SN2021bmf_S Band, 1580.777248842598
SN2021bmf_C Band, 1580.771172453693
SN2021bmf_X Band, 1580.764934027793
SN2021tcv_S Band, 1424.9953483796344
SN2021tcv_C Band, 1425.0084270833322
SN2021tcv_X Band, 1425.0018993055564
SN2021aefs_S Band, 1300.745158564816
SN2021aefs_C Band, 1300.7321956018568
SN2021aefs_X Band, 1300.7034687500054
SN2024ehs_S Band, 455.70379365741974
SN2024ehs_C Band, 455.69765939814533
SN2024ehs_X Band, 455.69135152777744
SN2019aur_S Band, 2314.5060358796254
SN2019aur_X Band, 2314.5376793981486
SN2020ywx_S Band, 1681.5455381944412
SN2020ywx_C Band, 1681.539346064812
SN2020ywx_X Band, 1681.5328298611057
SN2020ywx_S Band, 1681.5455381944412
SN2020ywx_S Band, 1681.5455381944412
SN2022cb_S Band, 1262.9506562500028
SN2022cb_C Band, 1262.938156250013
SN2022cb_X Band, 1262.9590590277803
SN2020aqe_X Band, 1242.1539201389023
SN2020aqe_X Band, 1242.2106678240743
SN2020aqe_X Band, 1242.1963738426057
SN2020aqe_X Band, 1242.1539201389023
SN2020aqe_X Band, 1242.2106678240743
SN2020aqe_X Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_C Band, 1242.1963738426057
SN2020aqe_C Band, 1242.1963738426057
SN2020aqe_C Band, 1242.1963738426057
SN2020aqe_C Band, 1242.1963738426057
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_X Band, 1242.1539201389023
SN2020aqe_X Band, 1242.1539201389023
SN2020aqe_X Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_X Band, 1242.1539201389023
SN2020aqe_X Band, 1242.1539201389023
SN2020aqe_X Band, 1242.1539201389023
SN2020aqe_X Band, 1242.1539201389023
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_X Band, 1242.1539201389023
SN2020aqe_X Band, 1242.1539201389023
SN2020aqe_X Band, 1242.1539201389023
SN2020aqe_X Band, 1242.1539201389023
SN2020aqe_X Band, 1242.2106678240743
SN2020aqe_X Band, 1242.2106678240743
SN2020aqe_S Band, 1242.2106678240743
SN2020aqe_S Band, 1242.1963738426057
SN2020aqe_S Band, 1242.1963738426057
SN2020aqe_S Band, 1242.1539201389023
SN2020aqe_X Band, 1242.1539201389023
SN2020aqe_X Band, 1242.1539201389023
SN2020aqe_X Band, 1242.1539201389023
SN2023rky_S Band, 655.0746770833284
SN2023rky_C Band, 655.0615983796233
SN2023rky_C Band, 655.0615983796233
SN2023rky_X Band, 655.0314826388858
SN2020aqe_X Band, 633.6399201388995
SN2020aqe_X Band, 633.6399201388995
SN2020aqe_X Band, 633.6399201388995
SN2020aqe_X,633.6399201388995
SN2020aqe_X Band,633.6399201388995
SN2019pqo_S Band,633.7900706018481
SN2019pqo_S Band,633.7900706018481
SN2019pqo_S Band,633.7900706018481
SN2020nec_S Band,1831.9355983796268
SN2020nec_C Band,1831.9276122685187
SN2020nec_X Band,1831.8991979166676
SN2020adhh_S Band,1652.2903993055588
SN2020adhh_S Band,1652.2903993055588
SN2020adhh_S Band,1652.2903993055588
SN2020adhh_S Band,1652.2903993055588
SN2020adhh_S Band,1652.2903993055588
SN2020adhh_S Band,1652.2903993055588
SN2020adhh_S Band,1652.2903993055588
SN2020adhh_S Band,1652.2903993055588
SN2020adhh_S Band,1652.2903993055588
SN2020adhh_C Band,1652.2762210648143
SN2020adhh_C Band,1652.2762210648143
SN2020adhh_X Band,1652.2307118055687
SN2020adhh_S Band,1652.2903993055588
J125412-103000_S Band,1300.7900329861077
SN2020adhh_S Band,1652.2903993055588
SN2019aur_C Band,2341.2601446759218
SN2019wqq_S Band,2053.39938078705
SN2019wqq_C Band,2053.3927256944444
SN2019wqq_X Band,2053.386244212961
SN2023axu_S Band,909.6861816203673
SN2023axu_C Band,909.680510324084
SN2023axu_X Band,909.6736931944397
