name,visual_obs_date,name_epoch,vlass_obs_date,epoch,days_diff,type
ZTF18abscyji,58351.889,ZTF18abscyji_VLASS2.2,59496.0,VLASS2.2,1144.1109999999971,SN II
ZTF18abscyjj,58354.889,ZTF18abscyjj_VLASS1.2v2,58606.0,VLASS1.2v,251.11099999999715,SN II
ZTF18abscyjj,58354.889,ZTF18abscyjj_VLASS2.2,59546.0,VLASS2.2,1191.1109999999971,SN II
ZTF18absdbvf,58353.539,ZTF18absdbvf_VLASS1.1v2,58097.0,VLASS1.1v,-256.5390000000043,SN Ia
ZTF18absdbvf,58353.539,ZTF18absdbvf_VLASS2.1,59107.0,VLASS2.1,753.4609999999957,SN Ia
ZTF18absdbvf,58353.539,ZTF18absdbvf_VLASS3.1,60026.0,VLASS3.1,1672.4609999999957,SN Ia
ZTF18absdgon,58369.599,ZTF18absdgon_VLASS1.2v2,58609.0,VLASS1.2v,239.400999999998,SN Ia
ZTF18absdgon,58369.599,ZTF18absdgon_VLASS2.2,59540.0,VLASS2.2,1170.400999999998,SN Ia
ZTF18absdxpk,58368.529,ZTF18absdxpk_VLASS1.1v2,58081.0,VLASS1.1v,-287.52900000000227,SN Ia
ZTF18absdxpk,58368.529,ZTF18absdxpk_VLASS2.1,59109.0,VLASS2.1,740.4709999999977,SN Ia
ZTF18absdxpk,58368.529,ZTF18absdxpk_VLASS3.1,59962.0,VLASS3.1,1593.4709999999975,SN Ia
ZTF18absgnbm,58352.639,ZTF18absgnbm_VLASS1.1v2,58033.0,VLASS1.1v,-319.63900000000285,SN II
ZTF18absgnbm,58352.639,ZTF18absgnbm_VLASS2.1,59046.0,VLASS2.1,693.3609999999971,SN II
ZTF18absgnbm,58352.639,ZTF18absgnbm_VLASS3.1,59980.0,VLASS3.1,1627.3609999999971,SN II
ZTF18absgnio,58352.639,ZTF18absgnio_VLASS1.1v2,58051.0,VLASS1.1v,-301.63900000000285,SN Ia
ZTF18absgnio,58352.639,ZTF18absgnio_VLASS2.1,59090.0,VLASS2.1,737.3609999999971,SN Ia
ZTF18absgnio,58352.639,ZTF18absgnio_VLASS3.1,59992.0,VLASS3.1,1639.3609999999971,SN Ia
ZTF18abshezu,58413.619,ZTF18abshezu_VLASS1.2v2,58644.0,VLASS1.2v,230.3810000000012,SLSN-I
ZTF18abshezu,58413.619,ZTF18abshezu_VLASS2.2,59623.0,VLASS2.2,1209.3810000000012,SLSN-I
ZTF18abshmro,58352.819,ZTF18abshmro_VLASS1.2v2,58655.0,VLASS1.2v,302.18099999999686,SN Ia
ZTF18abshmro,58352.819,ZTF18abshmro_VLASS2.2,59609.0,VLASS2.2,1256.1809999999969,SN Ia
ZTF18abshtdj,58361.759,ZTF18abshtdj_VLASS1.1v2,58090.0,VLASS1.1v,-271.7589999999982,SN Ia
ZTF18abshtdj,58361.759,ZTF18abshtdj_VLASS2.1,59068.0,VLASS2.1,706.2410000000018,SN Ia
ZTF18abshtdj,58361.759,ZTF18abshtdj_VLASS3.1,60073.0,VLASS3.1,1711.2410000000018,SN Ia
ZTF18abskove,58368.609,ZTF18abskove_VLASS1.1v2,58068.0,VLASS1.1v,-300.609000000004,SN Ia
ZTF18abskove,58368.609,ZTF18abskove_VLASS2.1,59143.0,VLASS2.1,774.390999999996,SN Ia
ZTF18abskove,58368.609,ZTF18abskove_VLASS3.1,60028.0,VLASS3.1,1659.390999999996,SN Ia
ZTF18abskoyh,58353.669,ZTF18abskoyh_VLASS1.2v2,58578.0,VLASS1.2v,224.3309999999983,SN II
ZTF18abskoyh,58353.669,ZTF18abskoyh_VLASS2.2,59482.0,VLASS2.2,1128.3309999999983,SN II
ZTF18abskzjm,58363.759,ZTF18abskzjm_VLASS1.1v2,58042.0,VLASS1.1v,-321.7589999999982,SN Ia
ZTF18abskzjm,58363.759,ZTF18abskzjm_VLASS2.1,59092.0,VLASS2.1,728.2410000000018,SN Ia
ZTF18abskzjm,58363.759,ZTF18abskzjm_VLASS3.1,60022.0,VLASS3.1,1658.2410000000018,SN Ia
ZTF18absldfl,58363.849,ZTF18absldfl_VLASS1.2v2,58580.0,VLASS1.2v,216.150999999998,SN II
ZTF18absldfl,58363.849,ZTF18absldfl_VLASS2.2,59506.0,VLASS2.2,1142.150999999998,SN II
ZTF18absliyc,58366.739,ZTF18absliyc_VLASS1.1v2,58102.0,VLASS1.1v,-264.7390000000014,SN Ic
ZTF18absliyc,58366.739,ZTF18absliyc_VLASS2.1,59047.0,VLASS2.1,680.2609999999986,SN Ic
ZTF18absliyc,58366.739,ZTF18absliyc_VLASS3.1,59979.0,VLASS3.1,1612.2609999999986,SN Ic
ZTF18absnqyo,58369.649,ZTF18absnqyo_VLASS1.2v2,58595.0,VLASS1.2v,225.3510000000024,SN Ia
ZTF18absnqyo,58369.649,ZTF18absnqyo_VLASS2.2,59513.0,VLASS2.2,1143.3510000000024,SN Ia
ZTF18absoomk,58360.719,ZTF18absoomk_VLASS1.2v2,58557.0,VLASS1.2v,196.28100000000268,SN Ia
ZTF18absoomk,58360.719,ZTF18absoomk_VLASS2.2,59528.0,VLASS2.2,1167.281000000003,SN Ia
ZTF18abspqsn,58375.649,ZTF18abspqsn_VLASS1.2v2,58636.0,VLASS1.2v,260.3510000000024,SN Ia
ZTF18abspqsn,58375.649,ZTF18abspqsn_VLASS2.2,59505.0,VLASS2.2,1129.3510000000024,SN Ia
ZTF18absqhza,58362.809,ZTF18absqhza_VLASS1.2v2,58559.0,VLASS1.2v,196.1909999999989,SN Ia
ZTF18absqhza,58362.809,ZTF18absqhza_VLASS2.2,59559.0,VLASS2.2,1196.190999999999,SN Ia
ZTF18absspcp,58364.549,ZTF18absspcp_VLASS1.1v2,58034.0,VLASS1.1v,-330.54899999999907,SN Ia
ZTF18absspcp,58364.549,ZTF18absspcp_VLASS2.1,59046.0,VLASS2.1,681.4510000000009,SN Ia
ZTF18absspcp,58364.549,ZTF18absspcp_VLASS3.1,59975.0,VLASS3.1,1610.451000000001,SN Ia
ZTF18absstyb,58363.579,ZTF18absstyb_VLASS1.1v2,58021.0,VLASS1.1v,-342.5789999999979,SN Ia
ZTF18absstyb,58363.579,ZTF18absstyb_VLASS2.1,59045.0,VLASS2.1,681.4210000000021,SN Ia
ZTF18absstyb,58363.579,ZTF18absstyb_VLASS3.1,59960.0,VLASS3.1,1596.421000000002,SN Ia
ZTF18abssuxz,58367.569,ZTF18abssuxz_VLASS1.2v2,58607.0,VLASS1.2v,239.43099999999689,SN Ia
ZTF18abssuxz,58367.569,ZTF18abssuxz_VLASS2.2,59532.0,VLASS2.2,1164.4309999999969,SN Ia
ZTF18absyyig,58358.739,ZTF18absyyig_VLASS1.1v2,58018.0,VLASS1.1v,-340.7390000000014,SN Ia
ZTF18absyyig,58358.739,ZTF18absyyig_VLASS2.1,59071.0,VLASS2.1,712.2609999999986,SN Ia
ZTF18absyyig,58358.739,ZTF18absyyig_VLASS3.1,59972.0,VLASS3.1,1613.2609999999986,SN Ia
ZTF18abtfrbf,58366.709,ZTF18abtfrbf_VLASS1.1v2,58102.0,VLASS1.1v,-264.70900000000256,SN Ia
ZTF18abtfrbf,58366.709,ZTF18abtfrbf_VLASS2.1,59047.0,VLASS2.1,680.2909999999974,SN Ia
ZTF18abtfrbf,58366.709,ZTF18abtfrbf_VLASS3.1,59979.0,VLASS3.1,1612.2909999999974,SN Ia
ZTF18abtfvsk,58357.809,ZTF18abtfvsk_VLASS1.1v2,58079.0,VLASS1.1v,-278.8090000000011,SN Ia
ZTF18abtfvsk,58357.809,ZTF18abtfvsk_VLASS2.1,59105.0,VLASS2.1,747.1909999999989,SN Ia
ZTF18abtfvsk,58357.809,ZTF18abtfvsk_VLASS3.1,60076.0,VLASS3.1,1718.190999999999,SN Ia
ZTF18abtgkdo,58365.809,ZTF18abtgkdo_VLASS1.2v2,58641.0,VLASS1.2v,275.1909999999989,SN Ia
ZTF18abtgkdo,58365.809,ZTF18abtgkdo_VLASS2.2,59501.0,VLASS2.2,1135.190999999999,SN Ia
